"LEA_STATE_NAME","TOT_RET_G12_M","SCH_SAL_TOTPERS_WOFED","SCH_FTE_TEACH_WOFED","SCH_SAL_TEACH_WOFED","SCH_NPE_WOFED","SCH_FTE_AID_WOFED","SCH_SAL_AID_WOFED","SCH_FTE_SUP_WOFED","SCH_SAL_SUP_WOFED","SCH_FTE_ADM_WOFED","SCH_SAL_ADM_WOFED","SCH_SAL_TEACH_WFED","SCH_FTE_AID_WFED","SCH_SAL_AID_WFED","SCH_FTE_SUP_WFED","SCH_SAL_SUP_WFED","SCH_FTE_ADM_WFED","SCH_SAL_ADM_WFED","SCH_SAL_TOTPERS_WFED","SCH_NPE_WFED","SCH_FTETEACH_TOT","SCH_FTETEACH_CERT","SCH_FTETEACH_NOTCERT","SCH_FTETEACH_FY","SCH_FTETEACH_SY","SCH_TEACHERS_CURR_TOT","SCH_TEACHERS_PREV_TOT","SCH_FTECOUNSELORS","SCH_FTETEACH_ABSENT","SCH_FTESECURITY_LEO","SCH_FTESECURITY_GUA","SCH_FTESERVICES_NUR","SCH_FTESERVICES_PSY","SCH_FTESERVICES_SOC"
"ALABAMA",7,3271792,56.04,2868349,1447070,1,18190,4,208381,2.5,176872,3034716,2,39593,4,208381,2.5,176872,3459562,1798966,60.5,60.5,0,0,3,61,60,2,41,1,0,1,0,0
"ALABAMA",2,4033187,71.5,3471289,1463445,6,84408,5.5,268272,3,209218,3621831,6,84408,5.5,268272,3,209218,4183729,1988630,75.5,75.5,0,5,5,76,75,2.5,50,1,0,1,0,0
"ALABAMA",4,2712585,45.62,2234994,866508,9,123014,3,181808,2.5,172769,2517196,10,140179,4,181808,3,204385,3043568,1220342,51.5,51.5,0,1,1,52,51,2,33,1,0,1,0,0
"ALABAMA",2,3804484,66.23,3304863,1237061,2,29316,5.5,272390,3,197915,3477244,5,100086,5.5,272390,3,197915,4047635,1687530,70.5,70.5,0,4,3,71,70,2.5,38,1,0,1,0,0
"ALABAMA",0,2932713,52.68,2570372,1312072,0,0,3.5,200757,2.5,161584,2729725,0,0,3.5,200757,2.5,161584,3092066,1726782,57,56,1,3,1,58,55,2,36,1,0,1,0,0
"ALABAMA",2,1795779,30.61,1487808,609936,1,17996,2.5,149636,2,140339,1752581,1,17996,2.5,149636,2,140339,2060552,918472,37,37,0,3,1,37,34,1,23,1,0,1,0,0
"ALABAMA",0,1726698,29.05,1402813,2661433,0,0,2.5,176723,2,147162,1525018,1,16276,3,204842,2,147162,1893298,2729698,32,31.5,0.5,1.5,5,33,30,2,13,0.33,0,0.5,0,0
"ALABAMA",9,5179910.15,91.25,4499051.3,1005416.42,1,13459.5,5,327419.16,4,339980.19,5016198.93,9,171673.71,5,661008.47,4,339980.19,6188861.3,1054106.07,94.25,94.25,0,1,1,94,191,4,46,1,0,1,0,0
"ALABAMA",6,3828405.51,65.5,3085050.05,769774.86,1,14781.12,4,386442.64,4,342131.7,3568335.26,10,193374.37,4,654073.78,4,342131.7,4757915.11,810759.16,71.5,71.5,0,2,1,71,145,3,27,1,0,1,1,0
"ALABAMA",2,4066161,46,2836370.14,860391.94,1.42,105608.18,2,72859.24,3,105608.19,2836370.14,3.42,119159.62,7.3,72859.24,3,105608.19,297626,254847.65,46,46,0,1,0,46,31,1.5,38,1,0,1,0,0
"ALABAMA",2,1187927,28,1187927,291412,1,18781,2,114246,4,152752,1187928,1,18781,2,114246,4,152752,1473706,291412,28,27,1,1,5,25,25,1,9,1,0,0.5,0.3,0
"ALABAMA",9,5547229,57,2840964,1207351,3,53512,5,252960,7,354864,2876292,8,143262,5,252960,7,354864,3627378,1207351,57,56,1,0,1,58,57,2,32,1,0,1,0,0
"ALABAMA",0,5547635.33,118.4,4848420,321254.59,6,43161.62,11,55287.38,7,600623.91,4848420,11,142692.6,11,55287,7,600623.91,5647164.29,370166.94,121,121,0,8,8,121,241,4,37,1,0,3,0,0
"ALABAMA",2,1494657.49,23,1121350.96,279482.3,1,27822.42,4,154957.63,2,116405.44,1174251.17,2.5,49043.25,4,154957.63,2,116405.44,1420536.45,546063.72,24,24,0,0,1,23,23,1,1,1,0,1,0,0
"ALABAMA",2,2118153.3,32.6,1656538.3,491462.17,2,30827,8.5,235268,4,195520,1790664.3,4,64654,4.5,235268,4,195520,2286106.3,555503.22,39.01,38.01,1,1,1,36,31,1.5,25,1,0,1,0,0.12
"ALABAMA",2,1372411.9,19.87,1018178.4,467929.88,1,16282,6.5,134319,4,203632.5,1018178.4,2,32793,2.5,134319,4,203632.5,1388922.9,498529.88,20.04,20.04,0,1,0,18,18,1,12,0.33,0,0.5,0,0.05
"ALABAMA",2,1751577.86,26.93,1387062.86,560007.57,1,16739,7,150531,4,197245,1408150.36,2,33478,3,150531,4,197245,1789404.36,612145.52,27.6,27.6,0,0,0,25,22,1,20,0.5,0,1,0,0.12
"ALABAMA",2,2772108.77,46.35,2276196.27,686831.2,1,16282,9,217848,5,261782.5,2276196.27,1,16282,4,217848,5,261782.5,2772108.77,703331.2,47.25,46.25,1,2,0,44,39,2,36,1,0,1,0,0.05
"ALABAMA",0,1497934.16,21.5,1114587.08,317853.23,1.81,30876.58,7,156653,4,195817.5,1227566.58,3.81,63897.58,3,156653,4,195817.5,1643934.66,371446.25,24.57,22.57,2,0,1,22,18,1,17,1,0,1,0,0.12
"ALABAMA",2,1652862.08,23.99,1272896.58,441506.35,1,16739,7,160613,4,202613.5,1272896.58,3,47338,3,160613,4,202613.5,1683461.08,441506.35,24.15,24.15,0,1,0,21,19,1,16,0.33,0,1,0,0.05
"ALABAMA",6,3626085.15,48.85,3626085.15,1837214,12,394476,8,253526.01,3,325021.85,4038870.08,14,456276.25,8,253526,3,325021.85,4748672,1837214,55.5,55.5,0,2,2,55,53,2,20,1,0,1,0,0
"ALABAMA",10,4513186.37,64.13,3494566.35,3206726.1,2.68,61876,15.68,394899.62,3,274956,3494566.35,8.68,185920,31.41,694124.25,3,274956,4825922.35,3664010.48,64.13,64.13,0,0,2.14,64,56,4,29,1,0,1,0,0
"ALABAMA",21,6436701.53,94.16,4738785.64,1044114.89,7,135657.08,30.04,966529.97,7.44,595729.04,4948375.84,10,189006,40,1316047.56,7.8,608267.6,7061697.05,3471568.59,99.56,99.56,0,11,5,99,88,4,38,2,0,2,0,0
"ALABAMA",5,1272782,24.8,1184754.5,50899.67,2,39516.5,0,0,50,11390950,1216832,2,62715,0,0,2.42,173504,236219,697453.25,24.8,24,0.8,3,0,23,20,1,5,1,0,1,0,0
"ALABAMA",2,3716875.05,55.39,2975464.58,549700.54,3,72304.09,5.28,280958.84,5,388147.54,2975464.58,5,101316.33,5.28,280958.84,5,388147.54,770422.71,596017.26,62,62,0,0,0,62,62,3,0,1,0,1,0,0
"ALABAMA",4,7120448.6,78.97,4908525.41,1653024.88,2.13,81457.9,25.51,1514420.32,6,616044.97,5292439.95,12,333187.26,26.51,1562657.08,6,616044.97,7804329.26,3258497.5,91,89,2,1,4,93,92,4,16,0,0,1,0,0
"ALABAMA",10,6328486.24,103.5,4849005.56,211739.85,2,33558.44,22.95,810330.61,6,425243.3,5180495.92,2,33558.44,25.61,881489.77,6,425243,6569698,217439.85,103.5,103.5,0,11,10,104,82,5,14,2,6,2,0,0
"ALABAMA",4,6052836.27,110,4771772.77,160992.3,6,75446.63,20.65,772441.27,4,397474,5101196,6,75446.63,29.24,913964.18,4,397474.01,6514471,165992.3,110,110,0,15,8,110,72,4,18,2,6,1,0,0
"ALABAMA",7,2398183.91,51,1982955.02,187795.79,4,69503.3,13.7,369055,6,314359.85,2065666.42,4,69503,17.04,433851,6.5,314359.85,3180606,351744.45,51,49,2,14,5,51,30,2,17,2,6,2,0,0
"ALABAMA",6,3453345.77,59,2491012.93,415961.26,3,99731.48,11.2,425997.08,5,317706.87,28525616.77,3,99731.48,16.8,530923,5,317706.87,3834960,616124.42,59,59,0,10,4,59,36,2,10,3,5,0.5,0,1
"ALABAMA",4,3663422.91,64.7,2771156.74,103909,2,34348.14,15.2,514853.16,4,322504.73,3127789.16,2,34348,21,617423.02,4,322504.73,4094592,109609.72,68,67,1,9,5,68,35,3,15,2,5,1,0,0
"ALABAMA",0,2801637.56,44,2170800.42,280156.75,3,41428.6,4,245658.55,2.5,152608.53,2213101.42,5,81130.44,4.5,269863.54,2.5,152608.53,2907845.23,688708.91,45.5,45.5,0,1,4,45,43,2,9,1,0,1,0,0
"ALABAMA",9,4478356.92,67.5,3583104.92,913232.32,0,0,5,281433,13,613819,4038863.52,6,129062,5,281433,13,613819,5063177.52,924250.02,76.9,76.9,0,6,6,80,86,3,17,1,0,1,0,0
"ALABAMA",6,3540335.08,52,2720402.08,931982.88,0,0,4,243534,14,576399,3213659.48,4,86578,4,243534,14,576399,4120170.48,939995.54,52,52,0,4,2,52,52,2,17,1,0,1,0,0
"ALABAMA",0,4928372.78,72.5,3809742.78,1245302.13,0,0,7,379429,16,739201,4278802.18,5,111833,7,379429,16,739201,5509265.18,1283373.49,78.6,78.6,0,3,5,79,87,4,27.1,1,0,1,0,0
"ALABAMA",0,861779.62,12.99,642596,17892.29,2,35465.27,2,75472.44,1,81738,745295.98,6,111601,2.56,116392.91,2,103491.32,1076781.69,118034.94,14.99,14.99,0,2,0,15,16,0.05,3,0.33,0,0.05,0,0.17
"ALABAMA",2,4561581.75,68,3432559.5,61136.75,4.25,76450.75,7.5,330142,9,371926,352768.75,14.25,208205.75,7.5,330142,9,371926,5052533.5,403697.75,82,82,0,1,1,68,66,2.5,2,1,0,2,0,0
